card_id,corpus,traj_id,task,agent,model,reward,n_steps,t,w,kind,placeholder_frac,max_msg_repeat_frac
tb2_configure-git-webserver__KfqGfWa_26,tb2,configure-git-webserver__KfqGfWa,configure-git-webserver,judy,claude-opus-4.6@anthropic,0,50,26,10,position,0.0,0.026
tb2_configure-git-webserver__KfqGfWa_34,tb2,configure-git-webserver__KfqGfWa,configure-git-webserver,judy,claude-opus-4.6@anthropic,0,50,34,10,position,0.0,0.026
tb2_configure-git-webserver__KfqGfWa_46,tb2,configure-git-webserver__KfqGfWa,configure-git-webserver,judy,claude-opus-4.6@anthropic,0,50,46,10,position,0.0,0.026
tb2_install-windows-3.11__S59DCLX_16,tb2,install-windows-3.11__S59DCLX,install-windows-3.11,terminus-2,moonshotai/Kimi-K2-Thinking@together_ai,0,63,16,10,position,0.0,0.016
tb2_install-windows-3.11__S59DCLX_34,tb2,install-windows-3.11__S59DCLX,install-windows-3.11,terminus-2,moonshotai/Kimi-K2-Thinking@together_ai,0,63,34,10,position,0.0,0.016
tb2_install-windows-3.11__S59DCLX_46,tb2,install-windows-3.11__S59DCLX,install-windows-3.11,terminus-2,moonshotai/Kimi-K2-Thinking@together_ai,0,63,46,10,position,0.0,0.016
tb2_install-windows-3.11__S59DCLX_52,tb2,install-windows-3.11__S59DCLX,install-windows-3.11,terminus-2,moonshotai/Kimi-K2-Thinking@together_ai,0,63,52,10,position,0.0,0.016
tb2_db-wal-recovery__mUwQ8nv_23,tb2,db-wal-recovery__mUwQ8nv,db-wal-recovery,terminus-2,gpt-5.1-codex@openai,0,63,23,10,position,0.016,0.016
tb2_db-wal-recovery__mUwQ8nv_33,tb2,db-wal-recovery__mUwQ8nv,db-wal-recovery,terminus-2,gpt-5.1-codex@openai,0,63,33,10,position,0.016,0.016
tb2_db-wal-recovery__mUwQ8nv_47,tb2,db-wal-recovery__mUwQ8nv,db-wal-recovery,terminus-2,gpt-5.1-codex@openai,0,63,47,10,position,0.016,0.016
tb2_db-wal-recovery__mUwQ8nv_54,tb2,db-wal-recovery__mUwQ8nv,db-wal-recovery,terminus-2,gpt-5.1-codex@openai,0,63,54,10,position,0.016,0.016
tb2_financial-document-processor__yFUb7zw_19,tb2,financial-document-processor__yFUb7zw,financial-document-processor,mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,0,64,19,10,position,0.109,0.016
tb2_financial-document-processor__yFUb7zw_31,tb2,financial-document-processor__yFUb7zw,financial-document-processor,mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,0,64,31,10,position,0.109,0.016
tb2_financial-document-processor__yFUb7zw_48,tb2,financial-document-processor__yFUb7zw,financial-document-processor,mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,0,64,48,10,position,0.109,0.016
tb2_financial-document-processor__yFUb7zw_57,tb2,financial-document-processor__yFUb7zw,financial-document-processor,mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,0,64,57,10,position,0.109,0.016
tb2_dna-assembly__o5NzHz7_19,tb2,dna-assembly__o5NzHz7,dna-assembly,deepagent-harbor,gpt-5.2-codex@openai,0,68,19,10,position,0.118,0.333
tb2_dna-assembly__o5NzHz7_33,tb2,dna-assembly__o5NzHz7,dna-assembly,deepagent-harbor,gpt-5.2-codex@openai,0,68,33,10,position,0.118,0.333
tb2_dna-assembly__o5NzHz7_45,tb2,dna-assembly__o5NzHz7,dna-assembly,deepagent-harbor,gpt-5.2-codex@openai,0,68,45,10,position,0.118,0.333
tb2_dna-assembly__o5NzHz7_56,tb2,dna-assembly__o5NzHz7,dna-assembly,deepagent-harbor,gpt-5.2-codex@openai,0,68,56,10,position,0.118,0.333
tb2_db-wal-recovery__urEH2nP_17,tb2,db-wal-recovery__urEH2nP,db-wal-recovery,openhands,gpt-5-nano@openai,0,71,17,10,position,0.014,0.056
tb2_db-wal-recovery__urEH2nP_38,tb2,db-wal-recovery__urEH2nP,db-wal-recovery,openhands,gpt-5-nano@openai,0,71,38,10,position,0.014,0.056
tb2_db-wal-recovery__urEH2nP_46,tb2,db-wal-recovery__urEH2nP,db-wal-recovery,openhands,gpt-5-nano@openai,0,71,46,10,position,0.014,0.056
tb2_db-wal-recovery__urEH2nP_67,tb2,db-wal-recovery__urEH2nP,db-wal-recovery,openhands,gpt-5-nano@openai,0,71,67,10,position,0.014,0.056
tb2_compile-compcert__qeLnFSj_18,tb2,compile-compcert__qeLnFSj,compile-compcert,codex,gpt-5@openai,0,71,18,10,position,0.38,0.014
tb2_compile-compcert__qeLnFSj_32,tb2,compile-compcert__qeLnFSj,compile-compcert,codex,gpt-5@openai,0,71,32,10,position,0.38,0.014
tb2_compile-compcert__qeLnFSj_49,tb2,compile-compcert__qeLnFSj,compile-compcert,codex,gpt-5@openai,0,71,49,10,position,0.38,0.014
tb2_compile-compcert__qeLnFSj_60,tb2,compile-compcert__qeLnFSj,compile-compcert,codex,gpt-5@openai,0,71,60,10,position,0.38,0.014
tb2_llm-inference-batching-scheduler__ubwAnFp_19,tb2,llm-inference-batching-scheduler__ubwAnFp,llm-inference-batching-scheduler,openhands,gpt-5-mini@openai,1,72,19,10,position,0.208,0.083
tb2_llm-inference-batching-scheduler__ubwAnFp_39,tb2,llm-inference-batching-scheduler__ubwAnFp,llm-inference-batching-scheduler,openhands,gpt-5-mini@openai,1,72,39,10,position,0.208,0.083
tb2_llm-inference-batching-scheduler__ubwAnFp_53,tb2,llm-inference-batching-scheduler__ubwAnFp,llm-inference-batching-scheduler,openhands,gpt-5-mini@openai,1,72,53,10,position,0.208,0.083
tb2_llm-inference-batching-scheduler__ubwAnFp_66,tb2,llm-inference-batching-scheduler__ubwAnFp,llm-inference-batching-scheduler,openhands,gpt-5-mini@openai,1,72,66,10,position,0.208,0.083
tb2_make-doom-for-mips__s3rm6vN_22,tb2,make-doom-for-mips__s3rm6vN,make-doom-for-mips,mini-swe-agent,claude-opus-4-1-20250805@anthropic,0,75,22,10,position,0.227,0.013
tb2_make-doom-for-mips__s3rm6vN_40,tb2,make-doom-for-mips__s3rm6vN,make-doom-for-mips,mini-swe-agent,claude-opus-4-1-20250805@anthropic,0,75,40,10,position,0.227,0.013
tb2_make-doom-for-mips__s3rm6vN_55,tb2,make-doom-for-mips__s3rm6vN,make-doom-for-mips,mini-swe-agent,claude-opus-4-1-20250805@anthropic,0,75,55,10,position,0.227,0.013
tb2_make-doom-for-mips__s3rm6vN_66,tb2,make-doom-for-mips__s3rm6vN,make-doom-for-mips,mini-swe-agent,claude-opus-4-1-20250805@anthropic,0,75,66,10,position,0.227,0.013
tb2_cobol-modernization__wX7wSXK_24,tb2,cobol-modernization__wX7wSXK,cobol-modernization,gemini-cli,gemini-2.5-pro@gemini,0,77,24,10,position,0.13,0.026
tb2_cobol-modernization__wX7wSXK_32,tb2,cobol-modernization__wX7wSXK,cobol-modernization,gemini-cli,gemini-2.5-pro@gemini,0,77,32,10,position,0.13,0.026
tb2_cobol-modernization__wX7wSXK_55,tb2,cobol-modernization__wX7wSXK,cobol-modernization,gemini-cli,gemini-2.5-pro@gemini,0,77,55,10,position,0.13,0.026
tb2_cobol-modernization__wX7wSXK_67,tb2,cobol-modernization__wX7wSXK,cobol-modernization,gemini-cli,gemini-2.5-pro@gemini,0,77,67,10,position,0.13,0.026
tb2_make-doom-for-mips__tHguAnp_24,tb2,make-doom-for-mips__tHguAnp,make-doom-for-mips,judy,claude-opus-4.6@anthropic,0,78,24,10,position,0.128,0.031
tb2_make-doom-for-mips__tHguAnp_39,tb2,make-doom-for-mips__tHguAnp,make-doom-for-mips,judy,claude-opus-4.6@anthropic,0,78,39,10,position,0.128,0.031
tb2_make-doom-for-mips__tHguAnp_51,tb2,make-doom-for-mips__tHguAnp,make-doom-for-mips,judy,claude-opus-4.6@anthropic,0,78,51,10,position,0.128,0.031
tb2_make-doom-for-mips__tHguAnp_64,tb2,make-doom-for-mips__tHguAnp,make-doom-for-mips,judy,claude-opus-4.6@anthropic,0,78,64,10,position,0.128,0.031
tb2_kv-store-grpc__FzjoxkQ_26,tb2,kv-store-grpc__FzjoxkQ,kv-store-grpc,openhands,claude-sonnet-4-5-20250929@anthropic,0,80,26,10,position,0.05,0.092
tb2_kv-store-grpc__FzjoxkQ_34,tb2,kv-store-grpc__FzjoxkQ,kv-store-grpc,openhands,claude-sonnet-4-5-20250929@anthropic,0,80,34,10,position,0.05,0.092
tb2_kv-store-grpc__FzjoxkQ_54,tb2,kv-store-grpc__FzjoxkQ,kv-store-grpc,openhands,claude-sonnet-4-5-20250929@anthropic,0,80,54,10,position,0.05,0.092
tb2_kv-store-grpc__FzjoxkQ_69,tb2,kv-store-grpc__FzjoxkQ,kv-store-grpc,openhands,claude-sonnet-4-5-20250929@anthropic,0,80,69,10,position,0.05,0.092
tb2_compile-compcert__DkH2JMz_20,tb2,compile-compcert__DkH2JMz,compile-compcert,deepagent-harbor,gpt-5.2-codex@openai,0,81,20,10,position,0.346,0.333
tb2_compile-compcert__DkH2JMz_41,tb2,compile-compcert__DkH2JMz,compile-compcert,deepagent-harbor,gpt-5.2-codex@openai,0,81,41,10,position,0.346,0.333
tb2_compile-compcert__DkH2JMz_60,tb2,compile-compcert__DkH2JMz,compile-compcert,deepagent-harbor,gpt-5.2-codex@openai,0,81,60,10,position,0.346,0.333
tb2_compile-compcert__DkH2JMz_69,tb2,compile-compcert__DkH2JMz,compile-compcert,deepagent-harbor,gpt-5.2-codex@openai,0,81,69,10,position,0.346,0.333
tb2_largest-eigenval__KJWcZ8D_23,tb2,largest-eigenval__KJWcZ8D,largest-eigenval,claude-code,claude-haiku-4-5-20251001@anthropic,0,81,23,10,position,0.16,0.025
tb2_largest-eigenval__KJWcZ8D_36,tb2,largest-eigenval__KJWcZ8D,largest-eigenval,claude-code,claude-haiku-4-5-20251001@anthropic,0,81,36,10,position,0.16,0.025
tb2_largest-eigenval__KJWcZ8D_55,tb2,largest-eigenval__KJWcZ8D,largest-eigenval,claude-code,claude-haiku-4-5-20251001@anthropic,0,81,55,10,position,0.16,0.025
tb2_largest-eigenval__KJWcZ8D_70,tb2,largest-eigenval__KJWcZ8D,largest-eigenval,claude-code,claude-haiku-4-5-20251001@anthropic,0,81,70,10,position,0.16,0.025
tb2_bn-fit-modify__MXHjNK8_18,tb2,bn-fit-modify__MXHjNK8,bn-fit-modify,mini-swe-agent,gemini-2.5-flash@gemini,0,83,18,10,position,0.313,0.024
tb2_bn-fit-modify__MXHjNK8_35,tb2,bn-fit-modify__MXHjNK8,bn-fit-modify,mini-swe-agent,gemini-2.5-flash@gemini,0,83,35,10,position,0.313,0.024
tb2_bn-fit-modify__MXHjNK8_53,tb2,bn-fit-modify__MXHjNK8,bn-fit-modify,mini-swe-agent,gemini-2.5-flash@gemini,0,83,53,10,position,0.313,0.024
tb2_bn-fit-modify__MXHjNK8_78,tb2,bn-fit-modify__MXHjNK8,bn-fit-modify,mini-swe-agent,gemini-2.5-flash@gemini,0,83,78,10,position,0.313,0.024
tb2_feal-linear-cryptanalysis__jbbLGgC_22,tb2,feal-linear-cryptanalysis__jbbLGgC,feal-linear-cryptanalysis,terminus-2,openai/gpt-oss-20b@together_ai,0,85,22,10,position,0.0,0.038
tb2_feal-linear-cryptanalysis__jbbLGgC_36,tb2,feal-linear-cryptanalysis__jbbLGgC,feal-linear-cryptanalysis,terminus-2,openai/gpt-oss-20b@together_ai,0,85,36,10,position,0.0,0.038
tb2_feal-linear-cryptanalysis__jbbLGgC_62,tb2,feal-linear-cryptanalysis__jbbLGgC,feal-linear-cryptanalysis,terminus-2,openai/gpt-oss-20b@together_ai,0,85,62,10,position,0.0,0.038
tb2_feal-linear-cryptanalysis__jbbLGgC_81,tb2,feal-linear-cryptanalysis__jbbLGgC,feal-linear-cryptanalysis,terminus-2,openai/gpt-oss-20b@together_ai,0,85,81,10,position,0.0,0.038
tb2_dna-assembly__b5N2XyK_22,tb2,dna-assembly__b5N2XyK,dna-assembly,codex,gpt-5-codex@openai,0,89,22,10,position,0.067,0.011
tb2_dna-assembly__b5N2XyK_37,tb2,dna-assembly__b5N2XyK,dna-assembly,codex,gpt-5-codex@openai,0,89,37,10,position,0.067,0.011
tb2_dna-assembly__b5N2XyK_56,tb2,dna-assembly__b5N2XyK,dna-assembly,codex,gpt-5-codex@openai,0,89,56,10,position,0.067,0.011
tb2_dna-assembly__b5N2XyK_73,tb2,dna-assembly__b5N2XyK,dna-assembly,codex,gpt-5-codex@openai,0,89,73,10,position,0.067,0.011
tb2_fix-ocaml-gc__wouZCwt_21,tb2,fix-ocaml-gc__wouZCwt,fix-ocaml-gc,terminus-2,claude-haiku-4-5-20251001@anthropic,0,92,21,10,position,0.457,0.011
tb2_fix-ocaml-gc__wouZCwt_37,tb2,fix-ocaml-gc__wouZCwt,fix-ocaml-gc,terminus-2,claude-haiku-4-5-20251001@anthropic,0,92,37,10,position,0.457,0.011
tb2_fix-ocaml-gc__wouZCwt_58,tb2,fix-ocaml-gc__wouZCwt,fix-ocaml-gc,terminus-2,claude-haiku-4-5-20251001@anthropic,0,92,58,10,position,0.457,0.011
tb2_fix-ocaml-gc__wouZCwt_78,tb2,fix-ocaml-gc__wouZCwt,fix-ocaml-gc,terminus-2,claude-haiku-4-5-20251001@anthropic,0,92,78,10,position,0.457,0.011
tb2_make-doom-for-mips__7QckTNB_24,tb2,make-doom-for-mips__7QckTNB,make-doom-for-mips,codex,gpt-5@openai,0,93,24,10,position,0.495,0.011
tb2_make-doom-for-mips__7QckTNB_48,tb2,make-doom-for-mips__7QckTNB,make-doom-for-mips,codex,gpt-5@openai,0,93,48,10,position,0.495,0.011
tb2_make-doom-for-mips__7QckTNB_65,tb2,make-doom-for-mips__7QckTNB,make-doom-for-mips,codex,gpt-5@openai,0,93,65,10,position,0.495,0.011
tb2_make-doom-for-mips__7QckTNB_81,tb2,make-doom-for-mips__7QckTNB,make-doom-for-mips,codex,gpt-5@openai,0,93,81,10,position,0.495,0.011
tb2_mailman__cC4xXg9_22,tb2,mailman__cC4xXg9,mailman,mini-swe-agent,gemini-2.5-pro@gemini,0,96,22,10,position,0.219,0.01
tb2_mailman__cC4xXg9_44,tb2,mailman__cC4xXg9,mailman,mini-swe-agent,gemini-2.5-pro@gemini,0,96,44,10,position,0.219,0.01
tb2_mailman__cC4xXg9_62,tb2,mailman__cC4xXg9,mailman,mini-swe-agent,gemini-2.5-pro@gemini,0,96,62,10,position,0.219,0.01
tb2_mailman__cC4xXg9_82,tb2,mailman__cC4xXg9,mailman,mini-swe-agent,gemini-2.5-pro@gemini,0,96,82,10,position,0.219,0.01
tb2_adaptive-rejection-sampler__sNuF5zZ_18,tb2,adaptive-rejection-sampler__sNuF5zZ,adaptive-rejection-sampler,openhands,gemini-2.5-pro@gemini,0,96,18,10,position,0.156,0.234
tb2_adaptive-rejection-sampler__sNuF5zZ_41,tb2,adaptive-rejection-sampler__sNuF5zZ,adaptive-rejection-sampler,openhands,gemini-2.5-pro@gemini,0,96,41,10,position,0.156,0.234
tb2_adaptive-rejection-sampler__sNuF5zZ_70,tb2,adaptive-rejection-sampler__sNuF5zZ,adaptive-rejection-sampler,openhands,gemini-2.5-pro@gemini,0,96,70,10,position,0.156,0.234
tb2_adaptive-rejection-sampler__sNuF5zZ_79,tb2,adaptive-rejection-sampler__sNuF5zZ,adaptive-rejection-sampler,openhands,gemini-2.5-pro@gemini,0,96,79,10,position,0.156,0.234
tb2_extract-moves-from-video__ZE44RbF_24,tb2,extract-moves-from-video__ZE44RbF,extract-moves-from-video,terminus-3-3,gemini-3.1-pro-preview@Google,0,97,24,10,position,0.216,0.2
tb2_extract-moves-from-video__ZE44RbF_46,tb2,extract-moves-from-video__ZE44RbF,extract-moves-from-video,terminus-3-3,gemini-3.1-pro-preview@Google,0,97,46,10,position,0.216,0.2
tb2_extract-moves-from-video__ZE44RbF_70,tb2,extract-moves-from-video__ZE44RbF,extract-moves-from-video,terminus-3-3,gemini-3.1-pro-preview@Google,0,97,70,10,position,0.216,0.2
tb2_extract-moves-from-video__ZE44RbF_81,tb2,extract-moves-from-video__ZE44RbF,extract-moves-from-video,terminus-3-3,gemini-3.1-pro-preview@Google,0,97,81,10,position,0.216,0.2
tb2_build-pov-ray__RLBcWPD_21,tb2,build-pov-ray__RLBcWPD,build-pov-ray,gemini-cli,gemini-2.5-pro@gemini,0,97,21,10,position,0.392,0.042
tb2_build-pov-ray__RLBcWPD_41,tb2,build-pov-ray__RLBcWPD,build-pov-ray,gemini-cli,gemini-2.5-pro@gemini,0,97,41,10,position,0.392,0.042
tb2_build-pov-ray__RLBcWPD_63,tb2,build-pov-ray__RLBcWPD,build-pov-ray,gemini-cli,gemini-2.5-pro@gemini,0,97,63,10,position,0.392,0.042
tb2_build-pov-ray__RLBcWPD_85,tb2,build-pov-ray__RLBcWPD,build-pov-ray,gemini-cli,gemini-2.5-pro@gemini,0,97,85,10,position,0.392,0.042
tb2_install-windows-3.11__er9h2Gw_30,tb2,install-windows-3.11__er9h2Gw,install-windows-3.11,claude-code,claude-haiku-4-5-20251001@anthropic,0,98,30,10,position,0.194,0.02
tb2_install-windows-3.11__er9h2Gw_49,tb2,install-windows-3.11__er9h2Gw,install-windows-3.11,claude-code,claude-haiku-4-5-20251001@anthropic,0,98,49,10,position,0.194,0.02
tb2_install-windows-3.11__er9h2Gw_71,tb2,install-windows-3.11__er9h2Gw,install-windows-3.11,claude-code,claude-haiku-4-5-20251001@anthropic,0,98,71,10,position,0.194,0.02
tb2_install-windows-3.11__er9h2Gw_80,tb2,install-windows-3.11__er9h2Gw,install-windows-3.11,claude-code,claude-haiku-4-5-20251001@anthropic,0,98,80,10,position,0.194,0.02
tb2_extract-moves-from-video__vRcGj7U_18,tb2,extract-moves-from-video__vRcGj7U,extract-moves-from-video,terminus-3-3,gemini-3.1-pro-preview@Google,0,105,18,10,position,0.276,0.333
tb2_extract-moves-from-video__vRcGj7U_50,tb2,extract-moves-from-video__vRcGj7U,extract-moves-from-video,terminus-3-3,gemini-3.1-pro-preview@Google,0,105,50,10,position,0.276,0.333
tb2_extract-moves-from-video__vRcGj7U_76,tb2,extract-moves-from-video__vRcGj7U,extract-moves-from-video,terminus-3-3,gemini-3.1-pro-preview@Google,0,105,76,10,position,0.276,0.333
tb2_extract-moves-from-video__vRcGj7U_92,tb2,extract-moves-from-video__vRcGj7U,extract-moves-from-video,terminus-3-3,gemini-3.1-pro-preview@Google,0,105,92,10,position,0.276,0.333
tb2_headless-terminal__jL4JdXw_26,tb2,headless-terminal__jL4JdXw,headless-terminal,openhands,gpt-5-nano@openai,1,105,26,10,position,0.067,0.2
tb2_headless-terminal__jL4JdXw_40,tb2,headless-terminal__jL4JdXw,headless-terminal,openhands,gpt-5-nano@openai,1,105,40,10,position,0.067,0.2
tb2_headless-terminal__jL4JdXw_68,tb2,headless-terminal__jL4JdXw,headless-terminal,openhands,gpt-5-nano@openai,1,105,68,10,position,0.067,0.2
tb2_headless-terminal__jL4JdXw_99,tb2,headless-terminal__jL4JdXw,headless-terminal,openhands,gpt-5-nano@openai,1,105,99,10,position,0.067,0.2
tb2_mailman__7MqVPwC_31,tb2,mailman__7MqVPwC,mailman,gemini-cli,gemini-2.5-pro@gemini,0,111,31,10,position,0.261,0.054
tb2_mailman__7MqVPwC_55,tb2,mailman__7MqVPwC,mailman,gemini-cli,gemini-2.5-pro@gemini,0,111,55,10,position,0.261,0.054
tb2_mailman__7MqVPwC_81,tb2,mailman__7MqVPwC,mailman,gemini-cli,gemini-2.5-pro@gemini,0,111,81,10,position,0.261,0.054
tb2_mailman__7MqVPwC_93,tb2,mailman__7MqVPwC,mailman,gemini-cli,gemini-2.5-pro@gemini,0,111,93,10,position,0.261,0.054
tb2_db-wal-recovery__6nzz2fq_20,tb2,db-wal-recovery__6nzz2fq,db-wal-recovery,codex,gpt-5-codex@openai,0,117,20,10,position,0.043,0.009
tb2_db-wal-recovery__6nzz2fq_46,tb2,db-wal-recovery__6nzz2fq,db-wal-recovery,codex,gpt-5-codex@openai,0,117,46,10,position,0.043,0.009
tb2_db-wal-recovery__6nzz2fq_78,tb2,db-wal-recovery__6nzz2fq,db-wal-recovery,codex,gpt-5-codex@openai,0,117,78,10,position,0.043,0.009
tb2_db-wal-recovery__6nzz2fq_106,tb2,db-wal-recovery__6nzz2fq,db-wal-recovery,codex,gpt-5-codex@openai,0,117,106,10,position,0.043,0.009
tb2_financial-document-processor__w7XM5qk_35,tb2,financial-document-processor__w7XM5qk,financial-document-processor,claude-code,minimax-m2.1@minimax,0,124,35,10,position,0.194,0.016
tb2_financial-document-processor__w7XM5qk_58,tb2,financial-document-processor__w7XM5qk,financial-document-processor,claude-code,minimax-m2.1@minimax,0,124,58,10,position,0.194,0.016
tb2_financial-document-processor__w7XM5qk_84,tb2,financial-document-processor__w7XM5qk,financial-document-processor,claude-code,minimax-m2.1@minimax,0,124,84,10,position,0.194,0.016
tb2_financial-document-processor__w7XM5qk_114,tb2,financial-document-processor__w7XM5qk,financial-document-processor,claude-code,minimax-m2.1@minimax,0,124,114,10,position,0.194,0.016
tb2_cobol-modernization__D37VA7b_27,tb2,cobol-modernization__D37VA7b,cobol-modernization,openhands,claude-sonnet-4-5-20250929@anthropic,1,126,27,10,position,0.056,0.024
tb2_cobol-modernization__D37VA7b_56,tb2,cobol-modernization__D37VA7b,cobol-modernization,openhands,claude-sonnet-4-5-20250929@anthropic,1,126,56,10,position,0.056,0.024
tb2_cobol-modernization__D37VA7b_74,tb2,cobol-modernization__D37VA7b,cobol-modernization,openhands,claude-sonnet-4-5-20250929@anthropic,1,126,74,10,position,0.056,0.024
tb2_cobol-modernization__D37VA7b_116,tb2,cobol-modernization__D37VA7b,cobol-modernization,openhands,claude-sonnet-4-5-20250929@anthropic,1,126,116,10,position,0.056,0.024
tb2_fix-ocaml-gc__EE2S8BX_23,tb2,fix-ocaml-gc__EE2S8BX,fix-ocaml-gc,gemini-cli,gemini-2.5-flash@gemini,0,129,23,10,position,0.202,0.036
tb2_fix-ocaml-gc__EE2S8BX_64,tb2,fix-ocaml-gc__EE2S8BX,fix-ocaml-gc,gemini-cli,gemini-2.5-flash@gemini,0,129,64,10,position,0.202,0.036
tb2_fix-ocaml-gc__EE2S8BX_88,tb2,fix-ocaml-gc__EE2S8BX,fix-ocaml-gc,gemini-cli,gemini-2.5-flash@gemini,0,129,88,10,position,0.202,0.036
tb2_fix-ocaml-gc__EE2S8BX_110,tb2,fix-ocaml-gc__EE2S8BX,fix-ocaml-gc,gemini-cli,gemini-2.5-flash@gemini,0,129,110,10,position,0.202,0.036
tb2_feal-linear-cryptanalysis__923TJt4_21,tb2,feal-linear-cryptanalysis__923TJt4,feal-linear-cryptanalysis,claude-code,claude-haiku-4-5-20251001@anthropic,0,131,21,10,position,0.084,0.015
tb2_feal-linear-cryptanalysis__923TJt4_52,tb2,feal-linear-cryptanalysis__923TJt4,feal-linear-cryptanalysis,claude-code,claude-haiku-4-5-20251001@anthropic,0,131,52,10,position,0.084,0.015
tb2_feal-linear-cryptanalysis__923TJt4_89,tb2,feal-linear-cryptanalysis__923TJt4,feal-linear-cryptanalysis,claude-code,claude-haiku-4-5-20251001@anthropic,0,131,89,10,position,0.084,0.015
tb2_feal-linear-cryptanalysis__923TJt4_119,tb2,feal-linear-cryptanalysis__923TJt4,feal-linear-cryptanalysis,claude-code,claude-haiku-4-5-20251001@anthropic,0,131,119,10,position,0.084,0.015
tb2_install-windows-3.11__mUYmJ4a_21,tb2,install-windows-3.11__mUYmJ4a,install-windows-3.11,deepagent-harbor,gpt-5.2-codex@openai,0,146,21,10,position,0.13,0.333
tb2_install-windows-3.11__mUYmJ4a_53,tb2,install-windows-3.11__mUYmJ4a,install-windows-3.11,deepagent-harbor,gpt-5.2-codex@openai,0,146,53,10,position,0.13,0.333
tb2_install-windows-3.11__mUYmJ4a_96,tb2,install-windows-3.11__mUYmJ4a,install-windows-3.11,deepagent-harbor,gpt-5.2-codex@openai,0,146,96,10,position,0.13,0.333
tb2_install-windows-3.11__mUYmJ4a_130,tb2,install-windows-3.11__mUYmJ4a,install-windows-3.11,deepagent-harbor,gpt-5.2-codex@openai,0,146,130,10,position,0.13,0.333
tb2_financial-document-processor__ygK3UcB_27,tb2,financial-document-processor__ygK3UcB,financial-document-processor,openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,0,146,27,10,position,0.0,0.108
tb2_financial-document-processor__ygK3UcB_57,tb2,financial-document-processor__ygK3UcB,financial-document-processor,openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,0,146,57,10,position,0.0,0.108
