card_id,label3,confidence3,boundary3,channels3,detail3,justification3
tb2_dna-assembly__o5NzHz7_33,PRODUCTIVE,high,false,E/I,,"Steps 24-33 derived the four Golden Gate overhangs, junction positions and primer annealing regions with oligotm melting temperatures, assembling the full layout."
tb2_extract-moves-from-video__vRcGj7U_92,PRODUCTIVE,medium,false,E/I,,"Step 87 exposed garbled OCR output; steps 89-92 saved cleaned command-strip images and extracted raw_moves.txt, a new evidence path over the same video."
tb2_feal-linear-cryptanalysis__923TJt4_21,PRODUCTIVE,medium,false,V/I,,"Step 16 matched the C cipher output 0xCACB782163473199, ruling out a structural misunderstanding, and step 18 wrote the rewritten attack.py."
tb2_feal-linear-cryptanalysis__jbbLGgC_81,STAGNANT,medium,false,none,no_tool_text_loop,"Steps 58-81 repeat identical echo loops and analysis that feal.c and decrypt.c are missing; no tool call produces new output or state change."
tb2_financial-document-processor__yFUb7zw_31,PRODUCTIVE,medium,false,I/E,,"Step 25 moved all 17 documents and emptied documents/, and steps 27-31 found the empty summary.csv and the split TotalPrice line as concrete bugs."
tb2_financial-document-processor__ygK3UcB_98,PRODUCTIVE,medium,false,E/I,,"Steps 93-96 mapped the exact OCR line structure around VAT, explaining the failing regex, and step 98 edited the persisted VAT extraction in process_documents.py."
tb2_fix-ocaml-gc__EE2S8BX_23,PRODUCTIVE,high,false,E/I,,"Step 19 established that wosize holds total word size, and steps 20-23 began replacing POOL_FREE_HEADER with MAKE_FREE_HEADER in shared_heap.c."
tb2_fix-ocaml-gc__wouZCwt_78,PRODUCTIVE,medium,true,E/I,,"Step 74 added the missing continue after merging free blocks and step 75 confirmed the fix; step 77 still shows crashes and a backup restore."
tb2_install-windows-3.11__2UtJ22k_24,PRODUCTIVE,high,false,E/I/V,,"Step 21 drove the DOS prompt via QMP send-key, step 23 showed graphical 1024x768 Windows output and step 24 confirmed HTTP 200 and send-key."
tb2_install-windows-3.11__er9h2Gw_80,PRODUCTIVE,low,true,V/E,,"Step 77 showed the VM past the DOS phase and step 79 verified websockify and nginx respond; the desktop is only confirmed after the window."
tb2_install-windows-3.11__S59DCLX_28_ctrlSTAG,STAGNANT,high,false,none,no_new_information,"Steps 19-28 repeat the identical stuck-terminal ctrl-c cycle and the same Slirp log line, adding no new information or verification evidence."
tb2_kv-store-grpc__FzjoxkQ_54,PRODUCTIVE,medium,false,I/E,,"Steps 47-48 started server.py in the background, step 50 found an empty server.log ruling out startup errors, and step 54 showed pgrep is simply unavailable."
tb2_llm-inference-batching-scheduler__ubwAnFp_19,PRODUCTIVE,high,false,E/I,,"Steps 10-14 measured 800 requests per bucket, step 16 produced baseline plan files and step 18 evaluated them against cost_model.py."
tb2_mailman__7MqVPwC_81,PRODUCTIVE,medium,false,V/E,,"Steps 74-80 fixed Maildir creation, assertion and subdirectory failures so eval.py advanced from missing Maildir to a direct-delivery assertion at step 81."
tb2_make-doom-for-mips__7QckTNB_24,STAGNANT,medium,false,none,repeat_search,"Steps 21-24 repeat grep commands returning Unmatched ( or \( with empty outputs; the one informative match at step 20 is never built on."
tb2_make-doom-for-mips__s3rm6vN_40,PRODUCTIVE,medium,false,E,,"Steps 34-40 walked vm.js from the Unknown opcode throw to its default case, and step 32 showed the rebuilt binary still carried stale trap instructions."
tb2_make-doom-for-mips__tHguAnp_51,PRODUCTIVE,high,false,E,,"Steps 42-49 collected exit calls, M_MakeDirectory signature and syscall memory-alignment details needed for the mini-libc, which step 52 then began writing."
