traj_id,task,agent,model,reward,n_steps,placeholder_frac,max_msg_repeat_frac,no_tool_frac,exclude
install-windows-3.11__fbNxved,install-windows-3.11,claude-code,minimax-m2.1@minimax,0,43,0.256,0.047,0.163,False
gcode-to-text__9pzhLAp,gcode-to-text,claude-code,claude-sonnet-4-5-20250929@anthropic,0,120,0.225,0.017,0.45,False
crack-7z-hash__uZZiWRe,crack-7z-hash,codex,gpt-5-mini@openai,1,21,0.095,0.048,0.19,True
compile-compcert__Fewy52e,compile-compcert,mini-swe-agent,openai/gpt-oss-120b@together_ai,0,60,0.3,0.017,0.033,False
dna-assembly__E7PEyg5,dna-assembly,claude-code,claude-opus-4-6@anthropic,0,15,0.533,0.067,0.4,True
mailman__te2Wndg,mailman,terminus-2,claude-haiku-4-5-20251001@anthropic,0,174,0.155,0.017,0.598,False
fix-git__8RxEri3,fix-git,claude-code,claude-haiku-4-5-20251001@anthropic,1,22,0.136,0.091,0.636,True
large-scale-text-editing__DowpSrk,large-scale-text-editing,terminus-3-3,gemini-3.1-pro-preview@Google,1,15,0.2,1.0,0.067,True
distribution-search__TfaJBRK,distribution-search,openhands,gpt-5@openai,1,22,0.136,0.381,0.045,True
bn-fit-modify__ABJy8bR,bn-fit-modify,mini-swe-agent,gemini-2.5-flash@gemini,1,27,0.444,0.074,0.037,True
break-filter-js-from-html__2TAxihR,break-filter-js-from-html,claude-code,claude-haiku-4-5-20251001@anthropic,1,121,0.124,0.025,0.521,False
largest-eigenval__HYZ5hes,largest-eigenval,codex,gpt-5-codex@openai,0,36,0.056,0.028,0.083,False
git-multibranch__zEK52fz,git-multibranch,terminus-2,moonshotai/Kimi-K2-Instruct-0905@together_ai,1,61,0.049,0.016,0.016,False
llm-inference-batching-scheduler__WYfZpPE,llm-inference-batching-scheduler,deepagent-harbor,gpt-5.2-codex@openai,1,21,0.238,0.333,0.143,True
db-wal-recovery__i9zsEE6,db-wal-recovery,gemini-cli,gemini-2.5-flash@gemini,0,40,0.05,0.5,0.05,True
mailman__AKqtqn4,mailman,terminus-3-3,claude-opus-4-6@anthropic,1,38,0.526,1.0,0.026,True
crack-7z-hash__gpBub6y,crack-7z-hash,codex,gpt-5-codex@openai,1,44,0.114,0.023,0.068,False
feal-differential-cryptanalysis__9wXyJK6,feal-differential-cryptanalysis,gemini-cli,gemini-2.5-pro@gemini,1,20,0.15,0.05,0.1,True
custom-memory-heap-crash__dE3EWmb,custom-memory-heap-crash,claude-code,claude-haiku-4-5-20251001@anthropic,0,241,0.203,0.008,0.494,False
db-wal-recovery__rwGVtyu,db-wal-recovery,terminus-3-3,gemini-3.1-pro-preview@Google,0,45,0.2,0.333,0.067,False
count-dataset-tokens__pdwHMFT,count-dataset-tokens,judy,claude-opus-4.6@anthropic,1,32,0.125,0.048,0.312,False
largest-eigenval__6Q6LFk6,largest-eigenval,deepagent-harbor,gpt-5.2-codex@openai,1,33,0.0,0.333,0.091,False
break-filter-js-from-html__5cJ3RCH,break-filter-js-from-html,mini-swe-agent,claude-haiku-4-5-20251001@anthropic,0,273,0.007,0.059,0.004,False
configure-git-webserver__fJTt3Hg,configure-git-webserver,openhands,claude-haiku-4-5-20251001@anthropic,1,220,0.005,0.45,0.695,True
fix-ocaml-gc__Tehe9Dv,fix-ocaml-gc,mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,1,97,0.227,0.01,0.01,False
build-cython-ext__MfHMVEF,build-cython-ext,codex,gpt-5-nano@openai,0,66,0.333,0.015,0.061,False
build-cython-ext__wq5tMn7,build-cython-ext,terminus-3-3,gemini-3.1-pro-preview@Google,0,24,0.75,0.5,0.083,True
cobol-modernization__34quMoc,cobol-modernization,deepagent-harbor,gpt-5.2-codex@openai,1,61,0.049,0.333,0.049,False
mailman__7MqVPwC,mailman,gemini-cli,gemini-2.5-pro@gemini,0,111,0.261,0.054,0.009,False
build-pov-ray__KS3ejPb,build-pov-ray,gemini-cli,gemini-2.5-pro@gemini,1,40,0.425,0.026,0.05,False
compile-compcert__s5ZaHeR,compile-compcert,claude-code,claude-haiku-4-5-20251001@anthropic,1,198,0.303,0.01,0.444,False
filter-js-from-html__ttSgH3t,filter-js-from-html,deepagent-harbor,gpt-5.2-codex@openai,0,48,0.062,0.333,0.062,False
chess-best-move__S97cpgJ,chess-best-move,deepagent-harbor,gpt-5.2-codex@openai,0,21,0.286,0.667,0.143,True
headless-terminal__AtzonWV,headless-terminal,judy,claude-opus-4.6@anthropic,0,31,0.097,0.048,0.29,False
compile-compcert__sNvtd7j,compile-compcert,terminus-3-3,gemini-3.1-pro-preview@Google,1,139,0.173,1.0,0.007,True
extract-moves-from-video__ZE44RbF,extract-moves-from-video,terminus-3-3,gemini-3.1-pro-preview@Google,0,97,0.216,0.2,0.052,False
dna-assembly__JsXhv29,dna-assembly,judy,claude-opus-4.6@anthropic,0,18,0.222,0.1,0.278,True
mailman__9QuzqiJ,mailman,codex,gpt-5-mini@openai,1,77,0.247,0.013,0.052,False
mailman__qzvMMtK,mailman,judy,claude-opus-4.6@anthropic,1,61,0.148,0.027,0.164,False
break-filter-js-from-html__nSogUpR,break-filter-js-from-html,mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,1,190,0.005,0.084,0.005,False
build-pov-ray__F28jSW9,build-pov-ray,terminus-2,moonshotai/Kimi-K2-Thinking@together_ai,1,294,0.095,0.01,0.007,False
compile-compcert__DkH2JMz,compile-compcert,deepagent-harbor,gpt-5.2-codex@openai,0,81,0.346,0.333,0.037,False
extract-moves-from-video__PKSedhB,extract-moves-from-video,terminus-3-3,claude-opus-4-6@anthropic,1,265,0.17,1.0,0.004,True
hf-model-inference__h8THkHx,hf-model-inference,judy,claude-opus-4.6@anthropic,1,22,0.0,0.056,0.364,True
compile-compcert__SppbiVD,compile-compcert,terminus-3-3,claude-opus-4-6@anthropic,0,198,0.096,1.0,0.005,True
crack-7z-hash__L6gLGZN,crack-7z-hash,terminus-2,grok-code-fast-1@xai,0,19,0.368,0.053,0.053,True
build-pmars__W4t3VGY,build-pmars,terminus-2,minimax-m2.5@Minimax,1,19,0.316,0.053,0.105,True
distribution-search__iVaT6bk,distribution-search,mini-swe-agent,gpt-5-mini@openai,0,20,0.25,0.05,0.1,True
llm-inference-batching-scheduler__ceQfMb5,llm-inference-batching-scheduler,terminus-2,gemini-2.5-pro@gemini,0,31,0.452,0.065,0.032,False
circuit-fibsqrt__QKMf2gF,circuit-fibsqrt,openhands,gpt-5-nano@openai,0,89,0.056,0.36,0.73,False
hf-model-inference__LSoRT3z,hf-model-inference,mini-swe-agent,claude-opus-4-1-20250805@anthropic,1,16,0.25,0.062,0.062,True
adaptive-rejection-sampler__GQmdxv3,adaptive-rejection-sampler,openhands,gpt-5-nano@openai,0,29,0.069,0.138,0.31,True
db-wal-recovery__oGKhiPB,db-wal-recovery,terminus-2,gemini-2.5-flash@gemini,0,117,0.0,0.479,0.915,True
compile-compcert__2UiuRWa,compile-compcert,terminus-2,deepseek-v3.2@deepseek,1,32,0.781,0.031,0.031,True
financial-document-processor__PeDQfsG,financial-document-processor,mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,0,28,0.25,0.036,0.036,True
constraints-scheduling__dvfnbLE,constraints-scheduling,openhands,moonshotai/Kimi-K2-Instruct-0905@together_ai,1,31,0.097,0.133,0.129,False
chess-best-move__jPtxiW3,chess-best-move,codex,gpt-5-nano@openai,0,7,0.0,0.143,0.714,True
git-multibranch__wKhgYvL,git-multibranch,openhands,Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8@together_ai,0,154,0.0,0.075,0.006,False
headless-terminal__6KJYfXP,headless-terminal,openhands,gpt-5-mini@openai,0,6,0.0,0.167,0.167,True
compile-compcert__MS5wLfb,compile-compcert,claude-code,minimax-m2.1@minimax,1,42,0.452,0.048,0.262,False
hf-model-inference__3LPc2o2,hf-model-inference,openhands,claude-opus-4-1-20250805@anthropic,1,94,0.096,0.067,0.011,False
compile-compcert__jNfBZDN,compile-compcert,gemini-cli,gemini-2.5-flash@gemini,0,9,0.444,1.0,0.111,True
dna-insert__AX4MYJg,dna-insert,claude-code,claude-opus-4-5-20251101@anthropic,0,25,0.4,0.08,0.4,True
mailman__7GcvAuV,mailman,claude-code,claude-opus-4-1-20250805@anthropic,0,85,0.2,0.024,0.482,False
cobol-modernization__jVDeTbU,cobol-modernization,codex,gpt-5-mini@openai,1,15,0.133,0.067,0.333,True
extract-moves-from-video__S4KE4rr,extract-moves-from-video,mini-swe-agent,grok-4-0709@xai,0,88,0.17,0.011,0.011,False
fix-git__jfoow3R,fix-git,claude-code,claude-opus-4-5-20251101@anthropic,0,11,0.0,0.182,0.636,True
crack-7z-hash__LSnrZu2,crack-7z-hash,terminus-2,accounts/fireworks/models/glm-4p6@fireworks_ai,0,191,0.042,0.11,0.005,False
constraints-scheduling__rEBf9pS,constraints-scheduling,claude-code,claude-opus-4-6@anthropic,1,12,0.25,0.083,0.417,True
fix-git__UbGyQ7H,fix-git,terminus-3-3,gemini-3.1-pro-preview@Google,1,15,0.667,1.0,0.067,True
headless-terminal__k9aF58X,headless-terminal,openhands,grok-4-0709@xai,1,8,0.0,0.143,0.125,True
mailman__dbiKZhc,mailman,mini-swe-agent,gemini-2.5-pro@gemini,1,51,0.176,0.02,0.02,False
build-cython-ext__YGZA8YN,build-cython-ext,claude-code,claude-sonnet-4-5-20250929@anthropic,1,99,0.404,0.02,0.384,False
extract-moves-from-video__yZMUvpE,extract-moves-from-video,codex,gpt-5-mini@openai,0,33,0.364,0.03,0.152,False
fix-ocaml-gc__wTRhkai,fix-ocaml-gc,terminus-2,minimax-m2.5@Minimax,1,104,0.192,0.019,0.019,False
feal-differential-cryptanalysis__8SDWbFB,feal-differential-cryptanalysis,deepagent-harbor,gpt-5.2-codex@openai,1,22,0.136,0.333,0.136,True
circuit-fibsqrt__Haga4Xy,circuit-fibsqrt,gemini-cli,gemini-2.5-pro@gemini,0,50,0.08,0.02,0.04,False
crack-7z-hash__w9ec2Tt,crack-7z-hash,terminus-3-3,gemini-3.1-pro-preview@Google,1,27,0.148,1.0,0.037,True
fix-ocaml-gc__PabatDm,fix-ocaml-gc,codex,gpt-5-mini@openai,1,57,0.439,0.018,0.088,False
code-from-image__SsAyRV4,code-from-image,gemini-cli,gemini-2.5-flash@gemini,1,10,0.0,0.333,0.4,True
make-doom-for-mips__3UcriqN,make-doom-for-mips,claude-code,claude-opus-4-1-20250805@anthropic,0,165,0.436,0.012,0.436,False
gpt2-codegolf__gzd5fau,gpt2-codegolf,terminus-3-3,gemini-3.1-pro-preview@Google,0,38,0.447,1.0,0.026,True
log-summary-date-ranges__hvwa5b4,log-summary-date-ranges,judy,claude-opus-4.6@anthropic,1,31,0.032,0.048,0.323,False
build-pmars__D95y8JK,build-pmars,deepagent-harbor,gpt-5.2-codex@openai,1,45,0.311,0.333,0.067,False
build-pov-ray__uQaNJwv,build-pov-ray,mini-swe-agent,gemini-2.5-pro@gemini,0,795,0.07,0.001,0.004,False
break-filter-js-from-html__tZszy9S,break-filter-js-from-html,openhands,claude-sonnet-4-5-20250929@anthropic,1,254,0.008,0.113,0.028,False
fix-ocaml-gc__JYsTRfJ,fix-ocaml-gc,mini-swe-agent,claude-opus-4-1-20250805@anthropic,1,113,0.15,0.009,0.009,False
dna-assembly__b5N2XyK,dna-assembly,codex,gpt-5-codex@openai,0,89,0.067,0.011,0.034,False
financial-document-processor__8gx7gcA,financial-document-processor,terminus-3-3,gemini-3.1-pro-preview@Google,0,20,0.55,1.0,0.05,True
mailman__vQauci9,mailman,deepagent-harbor,gpt-5.2-codex@openai,1,86,0.384,0.333,0.035,False
make-doom-for-mips__dJR3eSN,make-doom-for-mips,gemini-cli,gemini-2.5-flash@gemini,0,74,0.405,1.0,0.014,True
financial-document-processor__o4p686Q,financial-document-processor,gemini-cli,gemini-2.5-pro@gemini,1,58,0.017,0.19,0.328,False
break-filter-js-from-html__oqqZcAB,break-filter-js-from-html,claude-code,claude-sonnet-4-5-20250929@anthropic,1,186,0.059,0.011,0.425,False
make-doom-for-mips__XStLkoB,make-doom-for-mips,deepagent-harbor,gpt-5.2-codex@openai,0,49,0.265,0.333,0.061,False
break-filter-js-from-html__CVMJRxr,break-filter-js-from-html,deepagent-harbor,gpt-5.2-codex@openai,0,9,0.222,0.333,0.333,True
install-windows-3.11__2UtJ22k,install-windows-3.11,judy,claude-opus-4.6@anthropic,0,44,0.023,0.031,0.227,False
fix-ocaml-gc__Fa4vJVu,fix-ocaml-gc,terminus-3-3,claude-opus-4-6@anthropic,1,78,0.141,1.0,0.013,True
install-windows-3.11__YZcvwZm,install-windows-3.11,terminus-3-3,gemini-3.1-pro-preview@Google,0,107,0.206,1.0,0.009,True
gpt2-codegolf__VPYtwgA,gpt2-codegolf,judy,claude-opus-4.6@anthropic,0,11,0.273,0.333,0.273,True
fix-code-vulnerability__N2eAX8y,fix-code-vulnerability,codex,gpt-5-mini@openai,1,60,0.3,0.017,0.083,False
extract-elf__rUUxEg5,extract-elf,judy,claude-opus-4.6@anthropic,1,62,0.065,0.027,0.242,False
compile-compcert__xt4tRGG,compile-compcert,mini-swe-agent,claude-sonnet-4-5-20250929@anthropic,1,218,0.078,0.014,0.005,False
circuit-fibsqrt__meDYXKK,circuit-fibsqrt,terminus-2,claude-opus-4-5-20251101@anthropic,1,155,0.477,0.019,0.006,False
dna-assembly__o5NzHz7,dna-assembly,deepagent-harbor,gpt-5.2-codex@openai,0,68,0.118,0.333,0.044,False
extract-moves-from-video__wqVjHBS,extract-moves-from-video,terminus-3-3,claude-opus-4-6@anthropic,1,252,0.119,1.0,0.004,True
kv-store-grpc__qxmhDwX,kv-store-grpc,judy,claude-opus-4.6@anthropic,1,24,0.0,0.048,0.333,True
chess-best-move__APM7StV,chess-best-move,terminus-2,grok-4-0709@xai,0,12,0.583,0.083,0.083,True
headless-terminal__whY3y6J,headless-terminal,terminus-2,claude-haiku-4-5-20251001@anthropic,1,10,0.4,0.1,0.1,True
circuit-fibsqrt__zCCRCFn,circuit-fibsqrt,mini-swe-agent,grok-4-0709@xai,0,9,0.111,0.111,0.222,True
fix-code-vulnerability__HFfF6tG,fix-code-vulnerability,terminus-2,gpt-5-codex@openai,0,35,0.6,0.029,0.029,True
build-cython-ext__3rzJkU5,build-cython-ext,openhands,claude-opus-4-1-20250805@anthropic,0,114,0.14,0.09,0.009,False
log-summary-date-ranges__q6DDT8c,log-summary-date-ranges,mini-swe-agent,gemini-2.5-pro@gemini,1,15,0.067,0.067,0.067,True
gcode-to-text__DJCwDPT,gcode-to-text,openhands,gpt-5-mini@openai,0,56,0.125,0.091,0.196,False
circuit-fibsqrt__DRKdBCM,circuit-fibsqrt,terminus-2,accounts/fireworks/models/minimax-m2@fireworks_ai,0,102,0.147,0.018,0.461,False
compile-compcert__4tqBXCX,compile-compcert,terminus-2,gemini-3-pro-preview@gemini,1,29,0.793,0.034,0.0,True
largest-eigenval__fUXMuNW,largest-eigenval,mini-swe-agent,claude-opus-4-1-20250805@anthropic,0,31,0.065,0.032,0.032,False
fix-git__57j7Mjv,fix-git,openhands,claude-sonnet-4-5-20250929@anthropic,1,48,0.042,0.043,0.062,False
filter-js-from-html__jHoYjzP,filter-js-from-html,codex,gpt-5@openai,0,6,0.0,0.167,0.667,True
large-scale-text-editing__uhhFmrd,large-scale-text-editing,openhands,moonshotai/Kimi-K2-Instruct-0905@together_ai,0,320,0.0,0.052,0.009,False
configure-git-webserver__Bco9bri,configure-git-webserver,openhands,gemini-2.5-pro@gemini,0,24,0.042,0.091,0.125,True
build-pov-ray__AhmdCAY,build-pov-ray,claude-code,minimax-m2.1@minimax,1,55,0.291,0.036,0.145,False
adaptive-rejection-sampler__qag8RST,adaptive-rejection-sampler,openhands,claude-opus-4-1-20250805@anthropic,1,78,0.231,0.254,0.013,False
fix-code-vulnerability__fB9HVXR,fix-code-vulnerability,gemini-cli,gemini-2.5-pro@gemini,0,22,0.364,0.045,0.091,True
count-dataset-tokens__EqDUhRn,count-dataset-tokens,claude-code,claude-sonnet-4-5-20250929@anthropic,0,37,0.27,0.054,0.486,False
feal-differential-cryptanalysis__AV6Q5Pi,feal-differential-cryptanalysis,claude-code,minimax-m2.1@minimax,0,80,0.35,0.037,0.412,False
crack-7z-hash__RsSZjPz,crack-7z-hash,codex,gpt-5-codex@openai,1,22,0.182,0.045,0.136,True
fix-ocaml-gc__6m8WsCi,fix-ocaml-gc,mini-swe-agent,claude-haiku-4-5-20251001@anthropic,0,84,0.286,0.012,0.036,False
